Order Date Time,Board Type,Quantity,Pick Pack Time,,,,
01/07/2022 00:00:06,C,4,5.2,,,,
01/07/2022 00:01:31,C,3,4.9,,,,
01/07/2022 00:06:37,A,9,7.37,,,,
01/07/2022 00:12:59,C,4,5.15,,,,
01/07/2022 00:15:09,C,1,3.67,,,,
01/07/2022 00:32:06,B,2,4.27,,,,
01/07/2022 00:44:17,C,1,3.16,,,,
01/07/2022 00:45:11,A,12,9.32,,,,
01/07/2022 00:47:22,C,2,3.86,,,,
01/07/2022 01:01:35,A,8,6.68,,,,
01/07/2022 01:16:27,B,2,3.77,,,,
01/07/2022 01:16:46,B,5,5.32,,,,
01/07/2022 01:17:32,A,3,4.62,,,,
01/07/2022 01:20:20,C,6,6.26,,,,
01/07/2022 01:27:10,B,4,4.8,,,,
01/07/2022 01:33:46,B,2,4.39,,,,
01/07/2022 01:41:49,B,5,5.15,,,,
01/07/2022 01:43:20,C,2,3.78,,,,
01/07/2022 01:53:25,C,2,4.09,,,,
01/07/2022 01:55:24,B,1,3.53,,,,
01/07/2022 02:04:38,B,11,7.7,,,,
01/07/2022 02:09:56,C,4,4.56,,,,
01/07/2022 02:10:33,B,4,5.44,,,,
01/07/2022 02:14:47,A,13,9.15,,,,
01/07/2022 02:16:25,A,3,4.35,,,,
01/07/2022 02:17:09,C,2,3.98,,,,
01/07/2022 02:21:07,B,8,6.4,,,,
01/07/2022 02:30:08,B,5,5.05,,,,
01/07/2022 02:31:50,B,1,3.31,,,,
01/07/2022 02:40:40,C,6,6.34,,,,
01/07/2022 02:57:45,A,9,7.87,,,,
01/07/2022 03:09:26,B,10,8.55,,,,
01/07/2022 03:13:40,C,2,3.77,,,,
01/07/2022 03:25:14,C,6,5.42,,,,
01/07/2022 03:27:05,C,5,5.28,,,,
01/07/2022 03:30:13,C,2,4.02,,,,
01/07/2022 03:35:13,C,2,3.74,,,,
01/07/2022 03:35:45,C,7,6.45,,,,
01/07/2022 03:48:46,B,6,6.53,,,,
01/07/2022 03:53:14,B,5,5.42,,,,
01/07/2022 04:11:29,B,3,4.16,,,,
01/07/2022 04:16:34,B,5,5.37,,,,
01/07/2022 04:18:50,C,3,4.66,,,,
01/07/2022 04:26:03,A,10,7.94,,,,
01/07/2022 04:33:53,C,5,5.37,,,,
01/07/2022 04:50:41,A,5,5.84,,,,
01/07/2022 04:53:21,A,11,8.26,,,,
01/07/2022 05:01:26,C,4,5.46,,,,
01/07/2022 05:06:28,A,5,5.23,,,,
01/07/2022 05:09:16,A,2,4.07,,,,
01/07/2022 05:11:16,B,4,5.17,,,,
01/07/2022 05:18:39,C,3,4.71,,,,
01/07/2022 05:22:23,B,5,5.91,,,,
01/07/2022 05:31:27,A,12,9.05,,,,
01/07/2022 05:37:51,A,6,6.03,,,,
01/07/2022 05:39:44,C,1,3.61,,,,
01/07/2022 05:51:18,B,2,3.85,,,,
01/07/2022 05:56:13,B,4,5.28,,,,
01/07/2022 06:10:27,C,3,4.29,,,,
01/07/2022 06:19:41,A,8,6.68,,,,
01/07/2022 06:19:45,C,2,3.85,,,,
01/07/2022 06:23:54,B,3,4.28,,,,
01/07/2022 06:23:56,C,6,6.57,,,,
01/07/2022 06:26:45,B,4,4.67,,,,
01/07/2022 06:29:56,A,6,6.17,,,,
01/07/2022 06:40:53,C,5,5.03,,,,
01/07/2022 06:46:11,B,4,4.99,,,,
01/07/2022 06:47:47,B,4,4.83,,,,
01/07/2022 07:14:02,A,2,4.22,,,,
01/07/2022 07:18:51,C,5,4.98,,,,
01/07/2022 07:20:35,A,3,4.47,,,,
01/07/2022 07:34:50,C,3,4.46,,,,
01/07/2022 07:41:13,A,6,5.81,,,,
